name: 001_profile_01.jpg, l_accuracy: 93.33
name: 001_profile_02.jpg, l_accuracy: 76.67
name: 001_profile_03.jpg, l_accuracy: 83.33
name: 001_profile_04.jpg, l_accuracy: 70.0
name: 002_profile_01.jpg, l_accuracy: 83.33
name: 002_profile_02.jpg, l_accuracy: 73.33
name: 002_profile_03.jpg, l_accuracy: 93.33
name: 002_profile_04.jpg, l_accuracy: 90.0
name: 003_profile_01.jpg, l_accuracy: 90.0
name: 003_profile_02.jpg, l_accuracy: 80.0
name: 003_profile_03.jpg, l_accuracy: 83.33
name: 003_profile_04.jpg, l_accuracy: 90.0
name: 004_profile_01.jpg, l_accuracy: 86.67
name: 004_profile_02.jpg, l_accuracy: 93.33
name: 004_profile_03.jpg, l_accuracy: 83.33
name: 004_profile_04.jpg, l_accuracy: 83.33
name: 005_profile_01.jpg, l_accuracy: 93.33
name: 005_profile_02.jpg, l_accuracy: 83.33
name: 005_profile_03.jpg, l_accuracy: 93.33
name: 005_profile_04.jpg, l_accuracy: 76.67
name: 006_profile_01.jpg, l_accuracy: 86.67
name: 006_profile_02.jpg, l_accuracy: 93.33
name: 006_profile_03.jpg, l_accuracy: 76.67
name: 006_profile_04.jpg, l_accuracy: 90.0
name: 007_profile_01.jpg, l_accuracy: 76.67
name: 007_profile_02.jpg, l_accuracy: 96.67
name: 007_profile_03.jpg, l_accuracy: 90.0
name: 007_profile_04.jpg, l_accuracy: 80.0
name: 008_profile_01.jpg, l_accuracy: 86.67
name: 008_profile_02.jpg, l_accuracy: 73.33
name: 008_profile_03.jpg, l_accuracy: 86.67
name: 008_profile_04.jpg, l_accuracy: 73.33
name: 009_profile_01.jpg, l_accuracy: 90.0
name: 009_profile_02.jpg, l_accuracy: 96.67
name: 009_profile_03.jpg, l_accuracy: 90.0
name: 009_profile_04.jpg, l_accuracy: 80.0
name: 010_profile_01.jpg, l_accuracy: 93.33
name: 010_profile_02.jpg, l_accuracy: 83.33
name: 010_profile_03.jpg, l_accuracy: 83.33
name: 010_profile_04.jpg, l_accuracy: 83.33
name: 011_profile_01.jpg, l_accuracy: 80.0
name: 011_profile_02.jpg, l_accuracy: 86.67
name: 011_profile_03.jpg, l_accuracy: 86.67
name: 011_profile_04.jpg, l_accuracy: 83.33
name: 012_profile_01.jpg, l_accuracy: 83.33
name: 012_profile_02.jpg, l_accuracy: 80.0
name: 012_profile_03.jpg, l_accuracy: 83.33
name: 012_profile_04.jpg, l_accuracy: 80.0
name: 013_profile_01.jpg, l_accuracy: 83.33
name: 013_profile_02.jpg, l_accuracy: 86.67
name: 013_profile_03.jpg, l_accuracy: 86.67
name: 013_profile_04.jpg, l_accuracy: 90.0
name: 014_profile_01.jpg, l_accuracy: 46.67
name: 014_profile_02.jpg, l_accuracy: 96.67
name: 014_profile_03.jpg, l_accuracy: 96.67
name: 014_profile_04.jpg, l_accuracy: 96.67
name: 015_profile_01.jpg, l_accuracy: 96.67
name: 015_profile_02.jpg, l_accuracy: 90.0
name: 015_profile_03.jpg, l_accuracy: 90.0
name: 015_profile_04.jpg, l_accuracy: 90.0
name: 016_profile_01.jpg, l_accuracy: 90.0
name: 016_profile_02.jpg, l_accuracy: 80.0
name: 016_profile_03.jpg, l_accuracy: 86.67
